Numero,Tipo,Ementa,Autor,UF,Partido original,Partido atual,Data,Situação,Link
PL 5630/2023,Altera,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para criminalizar a manipulação não autorizada de imagem intima de mulher.
",Nely Aquino,MG,PODE,PODE,nov.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2405555
PL 5359/2023,Altera,"Altera a Lei nº 8.069, de 13 de julho de 1990 - Estatuto da Criança e do Adolescente, para criminalizar a adulteração, montagem ou modificação de fotografia, vídeo ou qualquer outra forma de representação visual por meio de Inteligência Artificial, a aquisição e a posse de tal material e outras condutas relacionadas à pedofilia na internet. 
",Erika Kokay,DF,PT,PT,nov.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2401304
PL 5641/2023,"Normativa, diretriz","Dispõe sobre a proibição de aplicativos, sites, ferramentas e similares que utilizam inteligência artificial para criação de imagens pornográficas não autorizadas com o rosto de mulheres, bem como estabelece medidas para prevenir e combater a disseminação dessas imagens.",Fernanda Melchionna;Sâmia Bomfim;Glauber Braga,RS;SP;RJ,PSOL;PSOL;PSOL,PSOL;PSOL;PSOL,nov.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2405761
PL 5394/2023,Altera,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal, para criminalizar a adulteração, montagem ou modificação de fotografia, vídeo ou qualquer outra forma de representação visual relativos à intimidade da pessoa, por meio de Inteligência Artificial, e dá outras providências. 
",Erika Kokay,DF,PT,PT,nov.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2402162
PL 5342/2023,Altera,"Tipifica o crime de Porno Fake e acrescenta o artigo 218-D ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tipificar o crime de criação, divulgação e comercialização de imagem de nudez ou de cunho sexual não autorizada, gerada por softwares e inteligência artificial (AI); altera para pública incondicionada a natureza da ação penal dos crimes contra a dignidade sexual; estabelece causas de aumento de pena para esses crimes.",Marcelo Álvaro Antônio,MG,PL,PL,nov.23,Aguardando Designação - Aguardando Devolução de Relator(a) que deixou de ser Membro,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2401172
PL 4869/2023,Altera,Veda a demissão ou redução da jornada de trabalho dos profissionais da voz e dos intérpretes de Língua Brasileira de Sinais - Libras em razão da utilização de ferramentas de inteligência artificial para produção de conteúdos audiovisuais. ,Marco Brasil,PR,PP,PP,out.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2394357
PL 5242/2023,Altera,"Altera a Lei nº 9.504, de 30 de setembro de 1997, para dispor sobre a vedação à criação, utilização e propagação de deep fake.",Rafael Brito,AL,MDB,MDB,out.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2399792
PL 5241/2023,Altera,"Altera a Lei nº 4.737, de 15 de julho de 1965, para tipificar o crime de divulgação de deep fake durante período de campanha eleitoral.",Rafael Brito,AL,MDB,MDB,out.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2399786
PL 4719/2023,"Direitos, deveres",Dispõe sobre o incentivo ao desenvolvimento de inteligência artificial.,Dimas Gadelha,RJ,PT,PT,set.23,Pronta para Pauta,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2391466
PL 3656/2024,Altera,"Altera a Lei nº 9.610, de 19 de fevereiro de 1998, para estabelecer regras sobre direitos autorais de obras geradas por sistemas de inteligência artificial de forma integral ou majoritariamente autônoma.
",Leonardo Gadelha,PB,PODE,PODE,set.24,Aguardando Autorização do Despacho,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2458893
PL 3488/2024,Altera,"Altera a Lei nº 12.965, de 23 de abril de 2014 e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), no intuito de coibir a criação e divulgação de falso vídeo ou imagem sexualmente explícita e não consensual, produzido por meio de inteligência artificial. ",Alexandre Guimarães,TO,MDB,MDB,set.24,Aguardando Chancela e Publicação do Despacho,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2457308
PL 3428/2024,Altera,"Altera a Lei nº 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), estabelecendo restrições ao tratamento de dados pessoais de crianças e adolescentes.",Delegado Fabio Costa,AL,PP,PP,set.24,Aguardando Chancela e Publicação do Despacho,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2456432
PL 3604/2024,Altera,"Altera a Lei nº 12.114, de 9 de dezembro de 2009, que Cria o Fundo Nacional sobre Mudança do Clima, para permitir o investimento de recursos no desenvolvimento de tecnologia da informação (TI) e da inteligência artificial (IA) na prevenção e contenção de incêndio em ambientes naturais, e dá outras providências.
",Fred Linhares,DF,REPUBLIC,REPUBLIC,set.24,Aguardando Autorização do Despacho,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2458566
PL 3410/2024,Altera,"Acrescenta artigo à Lei nº 7.492, de 16 de julho de 1986, para dispor sobre o crime de simulação de entidade financeira, e dá outras providências. ",Alberto Fraga,DF,PL,PL,set.24,Aguardando Chancela e Publicação do Despacho,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2456339
